project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Prevotella,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Paper reports SILVA clade labels 'Prevotella_9' and 'Prevotella_2' as separately enriched in AS; collapsed here to the parent genus Prevotella. Single row represents both SILVA clades. Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",enriched,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Dialister,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",enriched,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Comamonas,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",enriched,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Collinsella,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",enriched,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Streptococcus,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",enriched,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Alloprevotella,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",enriched,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Lachnospira,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Stated as significantly enriched in healthy controls, i.e. depleted in AS. Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",depleted,PubMed
PMID31807552,Variations in gut microbial profiles in ankylosing spondylitis: disease phenotype-related dysbiosis.,"Case-control study of 41 ankylosing spondylitis patients (20 axial, 21 peripheral) versus 19 healthy controls using 16S rRNA V4 fecal sequencing with LEfSe analysis.",16S rRNA,qualified,Bacteroides,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.21037/atm.2019.09.41,"Chen et al. 2019, Annals of Translational Medicine, PMID 31807552","Stated as significantly enriched in healthy controls, i.e. depleted in AS. NOTE: direction conflicts with the discussion section of PMID 40143557, which lists Bacteroides as enriched in AS. Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 19/20 axial AS (95%) and 21/21 peripheral AS (100%). Patients free of csDMARDs, corticosteroids and biological agents for >=3 months before sampling. LEfSe with Kruskal-Wallis and FDR correction; no per-genus LDA score stated verbatim in text, so lda_score left blank.",depleted,PubMed
PMID40143557,Integration of Metabolomics and 16S Ribosomal RNA Sequencing to Elucidate the Pathogenesis of Ankylosing Spondylitis.,Case-control study of 40 ankylosing spondylitis patients versus 40 age- and sex-matched healthy controls using 16S rRNA V3-V4 fecal sequencing with LEfSe analysis.,16S rRNA,qualified,Megamonas,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.1002/iid3.70183,"Wang et al. 2025, Immunity Inflammation and Disease, PMID 40143557","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 36/40 (90%). No glucocorticoids, antibiotics, csDMARDs, bDMARDs or tsDMARDs in the prior 3 months; all patients were NSAID-treated with poor response (authors flag NSAID use as a residual confounder). LEfSe with logarithmic LDA threshold 2.0 and Benjamini-Hochberg FDR correction; no per-genus LDA score stated verbatim, so lda_score left blank.",enriched,PubMed
PMID40143557,Integration of Metabolomics and 16S Ribosomal RNA Sequencing to Elucidate the Pathogenesis of Ankylosing Spondylitis.,Case-control study of 40 ankylosing spondylitis patients versus 40 age- and sex-matched healthy controls using 16S rRNA V3-V4 fecal sequencing with LEfSe analysis.,16S rRNA,qualified,Elusimicrobium,genus,,"Spondylitis, Ankylosing",D013167,Health,D006262,"Spondylitis, Ankylosing",D013167,,,LEfSe,,,,https://doi.org/10.1002/iid3.70183,"Wang et al. 2025, Immunity Inflammation and Disease, PMID 40143557","Cohort is diagnosed AS (1984 modified New York criteria), not undifferentiated SpA. HLA-B27 positive in 36/40 (90%). No glucocorticoids, antibiotics, csDMARDs, bDMARDs or tsDMARDs in the prior 3 months; all patients were NSAID-treated with poor response (authors flag NSAID use as a residual confounder). LEfSe with logarithmic LDA threshold 2.0 and Benjamini-Hochberg FDR correction; no per-genus LDA score stated verbatim, so lda_score left blank.",enriched,PubMed
