project_id,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID40601331,Case-control study using 16S rRNA gene sequencing of fecal microbiota and targeted LC-MS plasma metabolomics in 60 patients with generalized anxiety disorder versus 30 healthy volunteers.,16S rRNA,qualified,Escherichia-Shigella,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1080/00207454.2025.2529238,"Li et al. 2025, Int J Neurosci, PMID 40601331","Abstract (Results): 'GAD was associated with increased abundances of Actinobacteria, Bacteroidetes, and Escherichia-Shigella and decreased abundances of Firmicutes, Roseburia, Bifidobacterium, and Prevotellaceae_Prevotella.' Escherichia-Shigella is a 16S-based combined genus grouping (Escherichia and Shigella are not resolved by 16S rRNA). No exact per-taxon p-value given in extractable abstract text.",enriched,PubMed
PMID40601331,Case-control study using 16S rRNA gene sequencing of fecal microbiota and targeted LC-MS plasma metabolomics in 60 patients with generalized anxiety disorder versus 30 healthy volunteers.,16S rRNA,qualified,Roseburia,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1080/00207454.2025.2529238,"Li et al. 2025, Int J Neurosci, PMID 40601331",Abstract (Results): GAD patients showed decreased abundance of Roseburia relative to healthy volunteers. No exact per-taxon p-value given in extractable abstract text.,depleted,PubMed
PMID40601331,Case-control study using 16S rRNA gene sequencing of fecal microbiota and targeted LC-MS plasma metabolomics in 60 patients with generalized anxiety disorder versus 30 healthy volunteers.,16S rRNA,qualified,Bifidobacterium,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1080/00207454.2025.2529238,"Li et al. 2025, Int J Neurosci, PMID 40601331",Abstract (Results): GAD patients showed decreased abundance of Bifidobacterium relative to healthy volunteers. No exact per-taxon p-value given in extractable abstract text.,depleted,PubMed
PMID40601331,Case-control study using 16S rRNA gene sequencing of fecal microbiota and targeted LC-MS plasma metabolomics in 60 patients with generalized anxiety disorder versus 30 healthy volunteers.,16S rRNA,qualified,Prevotella,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1080/00207454.2025.2529238,"Li et al. 2025, Int J Neurosci, PMID 40601331","Reported in abstract as 'Prevotellaceae_Prevotella' (family Prevotellaceae, genus Prevotella), decreased in GAD vs healthy volunteers. No exact per-taxon p-value given in extractable abstract text.",depleted,PubMed
PMID36941248,Case-control study using whole-genome shotgun metagenomic sequencing of fecal samples from 31 adults with a clinical diagnosis of social anxiety disorder versus 18 age- and sex-matched healthy controls.,shotgun metagenomics,qualified,Anaeromassilibacillus,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1038/s41398-023-02325-5,"Butler et al. 2023, Transl Psychiatry, PMID 36941248",Abstract: 'The relative abundance of the genera Anaeromassillibacillus and Gordonibacter were elevated in SAD.' Genus spelling standardized to Anaeromassilibacillus (single L) to match the species-level mention in the same abstract (Anaeromassilibacillus sp An250). Genus-level difference was significant after Benjamini-Hochberg FDR correction per full text; exact numeric q-value not given at genus level (species-level padj=0.024 reported for Anaeromassilibacillus sp. An250).,enriched,PubMed
PMID36941248,Case-control study using whole-genome shotgun metagenomic sequencing of fecal samples from 31 adults with a clinical diagnosis of social anxiety disorder versus 18 age- and sex-matched healthy controls.,shotgun metagenomics,qualified,Gordonibacter,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1038/s41398-023-02325-5,"Butler et al. 2023, Transl Psychiatry, PMID 36941248",Abstract: 'The relative abundance of the genera Anaeromassillibacillus and Gordonibacter were elevated in SAD.' Genus-level difference was significant after Benjamini-Hochberg FDR correction per full text; exact numeric q-value not given at genus level.,enriched,PubMed
PMID36941248,Case-control study using whole-genome shotgun metagenomic sequencing of fecal samples from 31 adults with a clinical diagnosis of social anxiety disorder versus 18 age- and sex-matched healthy controls.,shotgun metagenomics,qualified,Parasutterella,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1038/s41398-023-02325-5,"Butler et al. 2023, Transl Psychiatry, PMID 36941248",Abstract: 'Parasuterella was enriched in healthy controls' (i.e. depleted in SAD); genus spelling standardized to Parasutterella to match the species-level mention in the same abstract (Parasutterella excrementihominis). Species-level padj=0.042 reported for P. excrementihominis; exact numeric value not given at genus level.,depleted,PubMed
PMID36051551,"Case-control study using 16S rRNA gene sequencing and LEfSe analysis of fecal microbiota comparing 44 patients with generalized anxiety disorder (ICD-11 diagnosis, confirmed with the Hamilton Anxiety Scale) to 30 healthy controls, within a larger 125-subject cohort that also included functional gastrointestinal disease groups.",16S rRNA,qualified,Faecalibacterium,genus,,Anxiety Disorders,D001008,,,LEfSe,,,,https://doi.org/10.3389/fpsyt.2022.946808,"Guo et al. 2022, Front Psychiatry, PMID 36051551",Full text Results (LEfSe): 'Faecalibacterium in the ADD group decreased significantly compared with the CG group' (ADD = generalized-anxiety-disorder-only group; CG = healthy controls). No exact numeric p-value given for this specific comparison in extractable text.,depleted,PubMed
PMID36051551,"Case-control study using 16S rRNA gene sequencing and LEfSe analysis of fecal microbiota comparing 44 patients with generalized anxiety disorder (ICD-11 diagnosis, confirmed with the Hamilton Anxiety Scale) to 30 healthy controls, within a larger 125-subject cohort that also included functional gastrointestinal disease groups.",16S rRNA,qualified,Megamonas,genus,,Anxiety Disorders,D001008,,,LEfSe,,,,https://doi.org/10.3389/fpsyt.2022.946808,"Guo et al. 2022, Front Psychiatry, PMID 36051551","Full text Results (LEfSe), same sentence as the Faecalibacterium row: '...while Megamonas increased significantly compared with the CG group' (ADD generalized-anxiety-disorder group vs CG healthy controls). No exact numeric p-value given for this specific comparison in extractable text.",enriched,PubMed
PMID34524405,"Umbrella systematic review and meta-analysis of 59 case-control gut microbiota studies (16S rRNA/shotgun metagenomics) across adult psychiatric disorders, including case-control studies of adults with a clinical diagnosis of anxiety disorder versus controls.",meta-analysis,qualified,Faecalibacterium,genus,,Anxiety Disorders,D001008,,,reported,,,,https://doi.org/10.1001/jamapsychiatry.2021.2573,"Nikolova et al. 2021, JAMA Psychiatry, PMID 34524405","Abstract: 'Depleted levels of Faecalibacterium and Coprococcus and enriched levels of Eggerthella were consistently shared between major depressive disorder, bipolar disorder, psychosis and schizophrenia, and anxiety.' Transdiagnostic finding explicitly including anxiety-disorder case-control studies; no anxiety-specific exact p-value given in extractable abstract text.",depleted,PubMed
