project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Bacteroides,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,2.91E-06,7.56E-05,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. Largest absolute increase in CP (mean 27.3% vs 16.7% in controls); log ratio +0.49.",enriched,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Prevotella,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,2.75E-03,7.95E-03,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -0.51.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Faecalibacterium,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,3.75E-05,4.28E-04,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. Largest absolute reduction in CP (3.8% vs 6.1% in controls); log ratio -0.48. Depletion of Faecalibacterium in CP vs healthy controls is independently corroborated by PMID 32352720 (pediatric CP), PMID 36099525 and PMID 31806503.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Parasutterella,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,6.77E-04,2.35E-03,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -0.18.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Holdemanella,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,4.61E-05,4.28E-04,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -1.43.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Alloprevotella,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,1.79E-04,1.03E-03,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -1.35.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Coprococcus,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,1.33E-04,8.64E-04,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -0.92.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Anaerotruncus,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,3.42E-04,1.59E-03,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -0.74.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Paraprevotella,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,1.22E-02,3.02E-02,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -0.51.",depleted,PubMed
PMID33094959,The Gut Microbiome in Patients With Chronic Pancreatitis Is Characterized by Significant Dysbiosis and Overgrowth by Opportunistic Pathogens,"51 chronic pancreatitis patients vs 102 non-pancreatic-disease controls matched for age, sex, BMI, smoking, diabetes and stool elastase; fecal samples profiled by 16S rRNA gene sequencing (V1-V2 region).",16S rRNA,qualified,Fusicatenibacter,genus,,"Pancreatitis, Chronic",D050500,Health,D006262,"Pancreatitis, Chronic",D050500,,,reported,,1.53E-07,7.97E-06,https://doi.org/10.14309/ctg.0000000000000232,"Frost et al. 2020, Clin Transl Gastroenterol, PMID 33094959","Etiology: 68.6% alcohol-related (19.6% actively drinking), 25.5% idiopathic, 5.9% SPINK1-associated; 45.1% of patients on pancreatic enzyme replacement therapy, 54.9% on PPI. Controls were matched for exocrine pancreatic function (stool elastase), so findings are not explained by exocrine insufficiency alone. p from Mann-Whitney U; q is Benjamini-Hochberg FDR-adjusted (both reported, so findings are FDR-corrected, not merely nominal). Direction from sign of log(CP mean/control mean) in Table 2. log ratio -1.50.",depleted,PubMed
