project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Escherichia,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",enriched,PubMed
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Anaeromassilibacillus,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",enriched,PubMed
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Bacteroides,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",depleted,PubMed
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Oscillibacter,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",depleted,PubMed
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Ruminococcus,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",depleted,PubMed
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Hungateiclostridium,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",depleted,PubMed
PMID38600019,Gut microbiota of one-and-a-half-year-old food-allergic and healthy children,"Case-control fecal 16S rRNA gut microbiota study of 29 food-allergic (FA) and 19 healthy (HC) one-and-a-half-year-old children, using LEfSe (LDA score > 2) to identify differentially abundant genera.",16S rRNA,qualified,Anaerotaenia,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1016/j.alit.2024.03.004,"Hara et al. 2024, Allergology International, PMID 38600019","FA vs healthy children, age 1.5 years. LEfSe threshold LDA>2 stated in paper; exact per-taxon LDA scores not given in extractable text.",depleted,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Alistipes,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in the FA-with-malnutrition (FAM) subgroup vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Parabacteroides,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in the FA-with-malnutrition (FAM) subgroup vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Phascolarctobacterium,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in the FA-with-malnutrition (FAM) subgroup vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Subdoligranulum,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in both the FA-with-malnutrition (FAM) and FA-without-malnutrition (FANM) subgroups vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Agathobacter,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in the FA-without-malnutrition (FANM) subgroup vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Anaerostipes,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in the FA-without-malnutrition (FANM) subgroup vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
PMID40108561,Gut microbiota signatures in food allergy children without and with malnutrition: a cross-sectional study,"Cross-sectional case-control fecal 16S rDNA (V3-V4) gut microbiota study of 80 oral-food-challenge-diagnosed food-allergic children (40 with malnutrition [FAM], 40 without malnutrition [FANM]) and 40 healthy controls, ages 1-6 years, using LEfSe (LDA score > 3) to identify differentially abundant genera.",16S rRNA,qualified,Lachnospira,genus,,Food Hypersensitivity,D005512,Health,D006262,Food Hypersensitivity,D005512,,,LEfSe,,,,https://doi.org/10.1186/s12887-025-05578-9,"Zhang et al. 2025, BMC Pediatrics, PMID 40108561","Enriched in the FA-without-malnutrition (FANM) subgroup vs healthy controls, ages 1-6 years; food allergy diagnosed by oral food challenge.",enriched,PubMed
