project_id,project_title,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,phenotype_a,phenotype_a_mesh_id,phenotype_b,phenotype_b_mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Lactobacillus,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268","Fecal/gut microbiota. LEfSe-identified genus enriched in GC vs normal (also GC-enriched in gastric tissue; part of the Lactobacillus+Streptococcus fecal diagnostic marker combo, AUC=0.7949). Exact LDA/p-value not extractable from available text.",enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Streptococcus,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268","Fecal/gut microbiota. LEfSe-identified genus enriched in GC vs normal (also GC-enriched in gastric tissue; part of the Lactobacillus+Streptococcus fecal diagnostic marker combo, AUC=0.7949). Exact LDA/p-value not extractable from available text.",enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Succinivibrio,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus enriched in GC vs normal. Exact LDA/p-value not extractable from available text.,enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Enterobacter,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus enriched in GC vs normal. Exact LDA/p-value not extractable from available text.,enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Escherichia,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus enriched in GC vs normal; also reported as genus-level enriched (non-LEfSe abundance comparison). Exact LDA/p-value not extractable from available text.,enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Klebsiella,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus enriched in GC vs normal. Exact LDA/p-value not extractable from available text.,enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Prevotella,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,reported,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268","Fecal/gut microbiota. Reported (genus-level abundance comparison, not the LEfSe list) as enriched in GC vs normal group.",enriched,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Clostridium,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus depleted (reduced) in GC vs normal. Exact LDA/p-value not extractable from available text.,depleted,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Lachnoclostridium,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus depleted (reduced) in GC vs normal. Exact LDA/p-value not extractable from available text.,depleted,PubMed
PMID39355268,Intratumoral and fecal microbiota reveals microbial markers associated with gastric carcinogenesis,"Meta-analysis reanalyzing 16S rRNA sequencing data from 394 fecal/stool samples (plus 1,642 gastric biopsy samples) across 11 independent studies of gastric cancer (GC) patients vs healthy individuals, using LEfSe (LDA>2.0, p<0.05) to identify genus-level differential taxa in gut microbiota.",meta-analysis,qualified,Lachnospira,genus,,Stomach Neoplasms,D013274,Health,D006262,Stomach Neoplasms,D013274,,,LEfSe,,,,https://doi.org/10.3389/fcimb.2024.1397466,"Wang et al. 2024, Front Cell Infect Microbiol, PMID 39355268",Fecal/gut microbiota. LEfSe-identified genus depleted (reduced) in GC vs normal. Exact LDA/p-value not extractable from available text.,depleted,PubMed
