project_id,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID26852926,Chinese case-control cohort of 35 clinically diagnosed gout patients vs 33 healthy controls; fecal samples; 16S rRNA V1-V3 pyrosequencing plus whole-metagenome shotgun sequencing.,shotgun metagenomics,qualified,Bacteroides caccae,species,,Gout,D006073,,,reported,,,,https://doi.org/10.1038/srep20602,"Guo et al. 2016, Sci Rep, PMID 26852926","Species-level finding from metagenomic species (MGS) analysis of shotgun data; abstract states verbatim: 'In gout, Bacteroides caccae and Bacteroides xylanisolvens are enriched yet Faecalibacterium prausnitzii and Bifidobacterium pseudocatenulatum depleted.' Wilcoxon rank-sum test; no exact p-value or FDR-corrected q-value stated for these taxa. Gout diagnosed by endocrinologists from blood uric acid plus joint pain; urate-lowering therapy status and acute vs intercritical disease state not reported.",enriched,PubMed
PMID26852926,Chinese case-control cohort of 35 clinically diagnosed gout patients vs 33 healthy controls; fecal samples; 16S rRNA V1-V3 pyrosequencing plus whole-metagenome shotgun sequencing.,shotgun metagenomics,qualified,Bacteroides xylanisolvens,species,,Gout,D006073,,,reported,,,,https://doi.org/10.1038/srep20602,"Guo et al. 2016, Sci Rep, PMID 26852926","Species-level finding from metagenomic species (MGS) analysis of shotgun data; abstract states verbatim: 'In gout, Bacteroides caccae and Bacteroides xylanisolvens are enriched yet Faecalibacterium prausnitzii and Bifidobacterium pseudocatenulatum depleted.' Wilcoxon rank-sum test; no exact p-value or FDR-corrected q-value stated for these taxa. Gout diagnosed by endocrinologists from blood uric acid plus joint pain; urate-lowering therapy status and acute vs intercritical disease state not reported.",enriched,PubMed
PMID26852926,Chinese case-control cohort of 35 clinically diagnosed gout patients vs 33 healthy controls; fecal samples; 16S rRNA V1-V3 pyrosequencing plus whole-metagenome shotgun sequencing.,shotgun metagenomics,qualified,Faecalibacterium prausnitzii,species,,Gout,D006073,,,reported,,,,https://doi.org/10.1038/srep20602,"Guo et al. 2016, Sci Rep, PMID 26852926","Species-level finding from metagenomic species (MGS) analysis of shotgun data; abstract states verbatim: 'In gout, Bacteroides caccae and Bacteroides xylanisolvens are enriched yet Faecalibacterium prausnitzii and Bifidobacterium pseudocatenulatum depleted.' Wilcoxon rank-sum test; no exact p-value or FDR-corrected q-value stated for these taxa. Gout diagnosed by endocrinologists from blood uric acid plus joint pain; urate-lowering therapy status and acute vs intercritical disease state not reported.",depleted,PubMed
PMID26852926,Chinese case-control cohort of 35 clinically diagnosed gout patients vs 33 healthy controls; fecal samples; 16S rRNA V1-V3 pyrosequencing plus whole-metagenome shotgun sequencing.,shotgun metagenomics,qualified,Bifidobacterium pseudocatenulatum,species,,Gout,D006073,,,reported,,,,https://doi.org/10.1038/srep20602,"Guo et al. 2016, Sci Rep, PMID 26852926","Species-level finding from metagenomic species (MGS) analysis of shotgun data; abstract states verbatim: 'In gout, Bacteroides caccae and Bacteroides xylanisolvens are enriched yet Faecalibacterium prausnitzii and Bifidobacterium pseudocatenulatum depleted.' Wilcoxon rank-sum test; no exact p-value or FDR-corrected q-value stated for these taxa. Gout diagnosed by endocrinologists from blood uric acid plus joint pain; urate-lowering therapy status and acute vs intercritical disease state not reported.",depleted,PubMed
PMID28270806,Chinese case-control cohort of 26 male gout patients vs 26 male healthy controls; fecal samples; 16S rRNA V3-V4 Illumina MiSeq sequencing with LEfSe.,16S rRNA,qualified,Bacteroides,genus,,Gout,D006073,,,LEfSe,,,,https://doi.org/10.3389/fmicb.2017.00268,"Shao et al. 2017, Front Microbiol, PMID 28270806","Male-only cohort; all patients had gout for >=12 months and received no medical treatment within 1 month before sampling (i.e. off urate-lowering therapy); disease state acute vs intercritical not specified. LEfSe run at a deliberately lenient threshold (LDA score >2); per-taxon LDA scores and p-values are not stated in the text (figure only), and no FDR correction is reported for the taxa. Genus-level direction taken from the Discussion: 'Our study also finds the family Bacteroidaceae sp. and its genera Bacteroides enriching in male gout patients.'",enriched,PubMed
PMID28270806,Chinese case-control cohort of 26 male gout patients vs 26 male healthy controls; fecal samples; 16S rRNA V3-V4 Illumina MiSeq sequencing with LEfSe.,16S rRNA,qualified,Rhodococcus,genus,,Gout,D006073,,,LEfSe,,,,https://doi.org/10.3389/fmicb.2017.00268,"Shao et al. 2017, Front Microbiol, PMID 28270806","Male-only cohort; all patients had gout for >=12 months and received no medical treatment within 1 month before sampling (i.e. off urate-lowering therapy); disease state acute vs intercritical not specified. LEfSe run at a deliberately lenient threshold (LDA score >2); per-taxon LDA scores and p-values are not stated in the text (figure only), and no FDR correction is reported for the taxa. Listed in the LEfSe results as the genus-level member of the enriched Corynebacteriales/Nocardiaceae lineage.",enriched,PubMed
PMID28270806,Chinese case-control cohort of 26 male gout patients vs 26 male healthy controls; fecal samples; 16S rRNA V3-V4 Illumina MiSeq sequencing with LEfSe.,16S rRNA,qualified,Erysipelatoclostridium,genus,,Gout,D006073,,,LEfSe,,,,https://doi.org/10.3389/fmicb.2017.00268,"Shao et al. 2017, Front Microbiol, PMID 28270806","Male-only cohort; all patients had gout for >=12 months and received no medical treatment within 1 month before sampling (i.e. off urate-lowering therapy); disease state acute vs intercritical not specified. LEfSe run at a deliberately lenient threshold (LDA score >2); per-taxon LDA scores and p-values are not stated in the text (figure only), and no FDR correction is reported for the taxa. Listed in the LEfSe results as the genus-level member of the enriched Erysipelotrichia/Erysipelotrichaceae lineage.",enriched,PubMed
PMID28270806,Chinese case-control cohort of 26 male gout patients vs 26 male healthy controls; fecal samples; 16S rRNA V3-V4 Illumina MiSeq sequencing with LEfSe.,16S rRNA,qualified,Photobacterium,genus,,Gout,D006073,,,LEfSe,,,,https://doi.org/10.3389/fmicb.2017.00268,"Shao et al. 2017, Front Microbiol, PMID 28270806","Male-only cohort; all patients had gout for >=12 months and received no medical treatment within 1 month before sampling (i.e. off urate-lowering therapy); disease state acute vs intercritical not specified. LEfSe run at a deliberately lenient threshold (LDA score >2); per-taxon LDA scores and p-values are not stated in the text (figure only), and no FDR correction is reported for the taxa. Listed in the LEfSe results as a genus-level member of the depleted Vibrionaceae family. CAUTION: Photobacterium is a marine-associated, typically very low-abundance gut taxon; this call rests on a lenient LDA>2 threshold and may be an artefact. Treat as low-confidence.",depleted,PubMed
PMID28270806,Chinese case-control cohort of 26 male gout patients vs 26 male healthy controls; fecal samples; 16S rRNA V3-V4 Illumina MiSeq sequencing with LEfSe.,16S rRNA,qualified,Vibrio,genus,,Gout,D006073,,,LEfSe,,,,https://doi.org/10.3389/fmicb.2017.00268,"Shao et al. 2017, Front Microbiol, PMID 28270806","Male-only cohort; all patients had gout for >=12 months and received no medical treatment within 1 month before sampling (i.e. off urate-lowering therapy); disease state acute vs intercritical not specified. LEfSe run at a deliberately lenient threshold (LDA score >2); per-taxon LDA scores and p-values are not stated in the text (figure only), and no FDR correction is reported for the taxa. Listed in the LEfSe results as a genus-level member of the depleted Vibrionaceae family. CAUTION: Vibrio is a marine-associated, typically very low-abundance gut taxon; this call rests on a lenient LDA>2 threshold and may be an artefact. Treat as low-confidence.",depleted,PubMed
PMID34030623,"Mexican case-control cohort of 58 ACR/EULAR-diagnosed gout patients (33 with subcutaneous tophi, 25 without) vs 53 healthy controls; fecal samples; 16S rRNA V3-V4 Illumina MiSeq.",16S rRNA,qualified,Phascolarctobacterium,genus,,Gout,D006073,,,reported,,,,https://doi.org/10.1186/s10020-021-00311-5,"Mendez-Salazar et al. 2021, Mol Med, PMID 34030623","Gout diagnosed by 2015 ACR/EULAR criteria; patients on long-term urate-lowering therapy (Discussion refers to more than 8 years of allopurinol treatment); recent antibiotic users and patients with diabetes/CKD excluded; BMI, glucose and triglycerides were significantly higher in gout groups than controls (residual confounding possible). Differential taxa were called by Kruskal-Wallis followed by Wilcoxon with a fold-change cut-off of >=1.5; FDR correction was applied to alpha-diversity indices only, not reported for these taxa. Exact effect sizes not stated in text. Abstract: higher abundance in patients with gout WITHOUT tophi when compared to controls; Discussion adds 'Phascolarctobacterium and Bacteroides were the most enriched genera in both gout groups.'",enriched,PubMed
