project_id,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Faecalibacterium,genus,,Migraine Disorders,D008881,,,reported,,0.0029,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. p-value copied verbatim from the top-abundance taxa comparison (two-tailed Wilcoxon rank-sum).",depleted,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Faecalibacterium prausnitzii,species,,Migraine Disorders,D008881,,,reported,,0.0029,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. p-value copied verbatim from the top-abundance taxa comparison (two-tailed Wilcoxon rank-sum).",depleted,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Bifidobacterium adolescentis,species,,Migraine Disorders,D008881,,,reported,,0.041,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. p-value copied verbatim from the top-abundance taxa comparison (two-tailed Wilcoxon rank-sum).",depleted,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Methanobrevibacter smithii,species,,Migraine Disorders,D008881,,,reported,,0.012,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. p-value copied verbatim from the top-abundance taxa comparison (two-tailed Wilcoxon rank-sum).",depleted,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Blautia hydrogenotrophica,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium asparagiforme,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium clostridioforme,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium bolteae,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium citroniae,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium hathewayi,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium ramosum,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium spiroforme,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
PMID32083024,Metagenome-wide association study of 108 shotgun-sequenced fecal samples from 54 elderly women with migraine and 54 age- and BMI-matched healthy controls.,shotgun metagenomics,qualified,Clostridium symbiosum,species,,Migraine Disorders,D008881,,,reported,,,,https://doi.org/10.3389/fcimb.2019.00470,"Chen et al. 2020, Front Cell Infect Microbiol, PMID 32083024","Elderly women only; migraine subtype (with/without aura, episodic vs chronic) not specified. From the differentially enriched species set (Wilcoxon rank-sum p<0.05); authors report FDR 0.14-0.29 for this set, so it is nominally significant and not stringently FDR-controlled. No per-taxon p-value published.",enriched,PubMed
