project_id,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Bifidobacterium,genus,,Sjogren's Syndrome,D012859,,,reported,,0.025,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",depleted,PubMed
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Blautia,genus,,Sjogren's Syndrome,D012859,,,reported,,0.041,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",depleted,PubMed
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Dorea,genus,,Sjogren's Syndrome,D012859,,,reported,,0.025,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",depleted,PubMed
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Agathobacter,genus,,Sjogren's Syndrome,D012859,,,reported,,0.035,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",depleted,PubMed
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Veillonella,genus,,Sjogren's Syndrome,D012859,,,reported,,0.045,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",enriched,PubMed
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Eubacterium hallii,species,,Sjogren's Syndrome,D012859,,,reported,,0.041,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",depleted,PubMed
PMID32059038,10 primary Sjogren's syndrome patients vs 12 healthy controls; fecal (stool) samples; 16S rRNA V3-V4 sequencing,16S rRNA,qualified,Bifidobacterium longum,species,,Sjogren's Syndrome,D012859,,,reported,,0.002,,https://doi.org/10.1371/journal.pone.0229029,"Moon et al. 2020, PLoS One, PMID 32059038","Primary SS only (secondary SS excluded); small cohort (n=10 SS); 50% of SS patients on hydroxychloroquine; nominal Wilcoxon rank-sum p-value vs healthy controls, not FDR-corrected. Prevotella/Odoribacter/Alistipes increases reported in this paper were vs the dry-eye-syndrome comparator, not vs healthy controls, and are therefore excluded.",depleted,PubMed
PMID36355832,"60 primary Sjogren's syndrome patients and 50 age/sex-matched healthy controls enrolled, fecal samples from 41 patients and 44 controls; stool; 16S rRNA V3-V4 sequencing",16S rRNA,qualified,Bacteroides,genus,,Sjogren's Syndrome,D012859,,,LEfSe,,,,https://doi.org/10.1371/journal.pone.0277270,"Li et al. 2022, PLoS One, PMID 36355832","Primary SS only (secondary SS, other autoimmune disease and GI disorders excluded); no antibiotics or probiotics for 3 months. Exact p-values and LDA scores not stated in the text (reported only in figures), so left blank. Paper states 15 genera differed but lists 16. Genus names recovered from the PMC HTML because the full-text tool stripped italicised taxon names. LEfSe threshold was LDA score >4; exact score not stated in text.",enriched,PubMed
PMID36355832,"60 primary Sjogren's syndrome patients and 50 age/sex-matched healthy controls enrolled, fecal samples from 41 patients and 44 controls; stool; 16S rRNA V3-V4 sequencing",16S rRNA,qualified,Megamonas,genus,,Sjogren's Syndrome,D012859,,,reported,,,,https://doi.org/10.1371/journal.pone.0277270,"Li et al. 2022, PLoS One, PMID 36355832","Primary SS only (secondary SS, other autoimmune disease and GI disorders excluded); no antibiotics or probiotics for 3 months. Exact p-values and LDA scores not stated in the text (reported only in figures), so left blank. Paper states 15 genera differed but lists 16. Genus names recovered from the PMC HTML because the full-text tool stripped italicised taxon names.",enriched,PubMed
PMID36355832,"60 primary Sjogren's syndrome patients and 50 age/sex-matched healthy controls enrolled, fecal samples from 41 patients and 44 controls; stool; 16S rRNA V3-V4 sequencing",16S rRNA,qualified,Veillonella,genus,,Sjogren's Syndrome,D012859,,,reported,,,,https://doi.org/10.1371/journal.pone.0277270,"Li et al. 2022, PLoS One, PMID 36355832","Primary SS only (secondary SS, other autoimmune disease and GI disorders excluded); no antibiotics or probiotics for 3 months. Exact p-values and LDA scores not stated in the text (reported only in figures), so left blank. Paper states 15 genera differed but lists 16. Genus names recovered from the PMC HTML because the full-text tool stripped italicised taxon names.",enriched,PubMed
