project_id,project_description,data_type,data_quality,scientific_name,taxonomic_rank,ncbi_tax_id,disease_name,mesh_id,negative_enriched_in,positive_enriched_in,effect_type,lda_score,p_value,q_value,association_url,citation,notes,direction,source_database
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Prevotella,genus,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Reported as roughly 1.8 times more abundant in the vitiligo group. Authors explicitly caution that Prevotella is the most abundant genus in the healthy Indian gut and the increase may reflect depletion of other commensals rather than a vitiligo association. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,enriched,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Prevotella copri,species,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434","Reported verbatim as 'P. copri'. Same authorial caveat: dominant species of the healthy Indian gut microbiome, so interpret the enrichment with caution. Opposite direction reported by Luan et al. 2023 (PMID 37737154). Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.",enriched,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Parabacteroides merdae,species,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Source reports the Greengenes2/GTDB split-genus label 'Parabacteroides_B_862066 merdae'; recorded here under the NCBI-equivalent binomial. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,enriched,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Gemella,genus,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Listed among the LEfSe genera depleted in vitiligo and higher in controls. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,depleted,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Lachnospira,genus,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Listed among the LEfSe genera depleted in vitiligo. Opposite direction reported by Dou et al. 2025 (PMID 39967732). Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,depleted,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Pectobacterium,genus,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Listed among the LEfSe genera depleted in vitiligo. Unusual taxon for a gut 16S dataset (mainly a plant-associated genus); treat with caution. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,depleted,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Nanosynbacter,genus,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434","Listed among the LEfSe genera depleted in vitiligo. Saccharibacteria (TM7) genus, more typically oral than intestinal; treat with caution. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.",depleted,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Peptostreptococcus stomatis,species,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Species-level LEfSe marker more abundant in the control group. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,depleted,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Bulleidia massiliensis,species,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Species-level LEfSe marker more abundant in the control group. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,depleted,PubMed
PMID39468434,22 vitiligo patients vs 10 age- and gender-matched healthy controls; fecal (stool) samples; 16S rRNA V3 amplicon sequencing with Greengenes2 taxonomy and LEfSe.,16S rRNA,qualified,Anaerobutyricum soehngenii,species,,Vitiligo,D014820,,,LEfSe,,,,https://doi.org/10.1186/s12866-024-03529-5,"Kumar et al. 2024, BMC Microbiol, PMID 39468434",Species-level LEfSe marker more abundant in the control group. Small cohort (22 patients vs 10 controls). LEfSe LDA cutoff 2.0.,depleted,PubMed
