table,column,n_rows,pct_empty,n_distinct,top_value,top_share
diseases,id,158,0.0,158,1,0.6
diseases,mesh_id,158,0.0,158,D000152,0.6
diseases,name,158,0.0,158,Acne Vulgaris,0.6
diseases,name_key,158,0.0,158,acne vulgaris,0.6
ingestion_runs,completed_at,20,0.0,5,2026-09-08T12:34:30+00:00,65.0
ingestion_runs,error_message,20,100.0,0,,0.0
ingestion_runs,id,20,0.0,20,1,5.0
ingestion_runs,rows_inserted,20,0.0,20,2112,5.0
ingestion_runs,rows_read,20,0.0,20,2115,5.0
ingestion_runs,rows_skipped,20,0.0,4,0,85.0
ingestion_runs,rows_updated,20,0.0,2,0,95.0
ingestion_runs,source_name,20,0.0,20,gut_microbiome_new_full,5.0
ingestion_runs,source_uri,20,0.0,20,/Users/lucyshaa/Desktop/CML/gut_microbio,5.0
ingestion_runs,started_at,20,0.0,4,2026-09-08T12:34:30+00:00,65.0
ingestion_runs,status,20,0.0,1,completed,100.0
phenotype_comparisons,comparison_key,378,0.0,378,PRJNA449243|health|acne vulgaris|lda,0.3
phenotype_comparisons,id,378,0.0,378,1,0.3
phenotype_comparisons,method,378,0.0,2,LEfSe,94.7
phenotype_comparisons,negative_score_enriched_in_id,378,11.9,17,2.0,90.1
phenotype_comparisons,notes,378,88.1,39,Fecal/gut microbiota. LEfSe-identified g,4.4
phenotype_comparisons,phenotype_a_id,378,0.0,17,2,91.3
phenotype_comparisons,phenotype_b_id,378,0.0,155,39,6.3
phenotype_comparisons,positive_score_enriched_in_id,378,11.9,141,39.0,7.2
phenotype_comparisons,study_id,378,0.0,312,47,2.1
phenotype_comparisons,taxonomic_level,378,0.0,3,genus,64.0
sample_taxon_abundances,detection_threshold,1243990,100.0,0,,0.0
sample_taxon_abundances,relative_abundance,1243990,0.0,593350,2.42e-06,0.0
sample_taxon_abundances,sample_id,1243990,0.0,12049,7967,0.0
sample_taxon_abundances,taxon_id,1243990,0.0,2343,852,0.9
samples,age_years,33630,61.3,1094,23.0,2.1
samples,bmi,33630,99.1,181,0.0,17.4
samples,body_site,33630,0.0,1,gut,100.0
samples,country,33630,0.2,48,China,39.4
samples,disease_id,33630,0.0,144,2.0,42.0
samples,gmrepo_sample_id,33630,0.0,32736,ERS2707554,0.0
samples,id,33630,0.0,33630,1,0.0
samples,qc_status,33630,8.2,2,1,95.5
samples,run_accession,33630,0.0,33630,DRR236611,0.0
samples,sex,33630,62.5,2,female,55.7
samples,study_id,33630,0.0,273,52,4.0
samples,subject_id,33630,100.0,0,,0.0
samples,timepoint,33630,100.0,0,,0.0
samples,unclassified_fraction,33630,100.0,0,,0.0
studies,data_quality,312,0.0,2,curated,87.5
studies,data_type,312,0.0,5,AMPLICON,61.2
studies,description,312,0.0,41,Curated project-level marker taxa from G,87.2
studies,id,312,0.0,312,1,0.3
studies,project_accession,312,0.0,312,PRJNA449243,0.3
studies,source_database,312,0.0,2,GMrepo,87.5
studies,title,312,0.0,179,GMrepo curated Health vs. Colorectal Neo,6.1
taxa,biotic_relationship,4374,55.9,9,Free living,95.4
taxa,cell_arrangement,4374,74.5,41,Singles,27.9
taxa,class_name,4374,1.1,139,Clostridia,18.8
taxa,energy_mode,4374,0.0,4,N/A,75.1
taxa,energy_source,4374,75.0,35,Chemoorganotroph,30.3
taxa,family,4374,2.2,554,Lachnospiraceae,6.5
taxa,flagella_presence,4374,61.8,2,no,73.3
taxa,genus,4374,0.0,1548,Clostridium,2.5
taxa,genus_key,4374,0.0,1548,clostridium,2.5
taxa,gram_stain,4374,49.4,4,positive,51.6
taxa,habitat,4374,67.6,51,HostAssociated,46.9
taxa,human_pathogen,4374,98.6,1,1.0,100.0
taxa,id,4374,0.0,4374,1,0.0
taxa,metabolism,4374,63.6,177,"Saccharolytic, fermentative",28.4
taxa,mobility,4374,59.1,2,no,81.3
taxa,ncbi_tax_id,4374,7.2,3956,39492.0,0.0
taxa,number_of_membranes,4374,62.1,4,1.0,55.7
taxa,optimal_temperature,4374,75.1,47,37.0,34.7
taxa,order_name,4374,1.3,280,Lactobacillales,8.0
taxa,oxygen_requirement,4374,38.7,10,anaerobe,45.2
taxa,ph_preference,4374,65.8,2,alkaliphile,90.1
taxa,phylum,4374,0.7,65,Firmicutes,37.7
taxa,primary_food_source,4374,0.0,8,N/A,78.8
taxa,scientific_name,4374,0.0,4374,Clostridium aminophilum,0.0
taxa,shape,4374,51.2,14,Bacilli,59.9
taxa,source_database,4374,0.0,3,GMrepo,51.1
taxa,species,4374,18.0,2732,massiliensis,2.0
taxa,species_key,4374,18.0,2732,massiliensis,2.0
taxa,sporulation,4374,45.3,2,no,71.4
taxa,superkingdom,4374,0.5,3,Bacteria,89.7
taxa,taxonomic_rank,4374,0.0,2,species,82.0
taxa,temperature_range,4374,57.1,5,mesophilic,95.2
taxon_disease_associations,comparison_id,16390,0.0,378,77,2.5
taxon_disease_associations,direction,16390,0.0,2,depleted,55.9
taxon_disease_associations,disease_id,16390,0.0,156,39,13.4
taxon_disease_associations,effect_size,16390,1.9,667,-3.03,0.4
taxon_disease_associations,effect_type,16390,0.0,3,LDA,98.1
taxon_disease_associations,id,16390,0.0,16390,1,0.0
taxon_disease_associations,p_value,16390,99.6,43,0.013,6.9
taxon_disease_associations,q_value,16390,99.7,29,0.02,14.3
taxon_disease_associations,source_database,16390,0.0,2,GMrepo,98.1
taxon_disease_associations,taxon_id,16390,0.0,1331,2252,0.8
