Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Flavefaciens,anaerobe,Unknown,0
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,facultative anaerobe,Unknown,Unknown
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,,anaerobe,Unknown,0
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Oscillospira,Guilliermondii,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Pullorum,microaerophile,Unknown,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Lentisphaerota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Vadensis,anaerobe,Unknown,Unknown
Synergistota,Synergistia,Synergistales,Dethiosulfovibrionaceae,Pyramidobacter,Piscolens,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,,anaerobe,Unknown,Unknown
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Lentisphaerota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Vadensis,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,,anaerobe,Unknown,0
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Muciniphila,anaerobe,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,facultative anaerobe,Unknown,Unknown
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Albus,anaerobe,Unknown,0
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,anaerobe,Unknown,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Copri,anaerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Durum,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,,facultative anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Multacida,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,anaerobe,Unknown,1
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Succinogenes,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,P-1630-C5,anaerobe,Unknown,Unknown
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,,aerobe,alkaliphile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Catus,Unknown,Unknown,Unknown
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Obeum,anaerobe,Unknown,0
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,C21_C20,anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Dehalobacterium,,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,Dietzia,,aerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Anginosus,facultative anaerobe,alkaliphile,0
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Succinicans,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,anaerobe,Unknown,Unknown
Spirochaetota,Spirochaetia,Spirochaetales,Sphaerochaetaceae,Sphaerochaeta,,anaerobe,Unknown,Unknown
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,,anaerobe,Unknown,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Formicigenerans,anaerobe,Unknown,0
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Muciniphila,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Anaerofustis,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Producta,anaerobe,Unknown,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Gnavus,anaerobe,Unknown,0
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Muralis,aerobe,alkaliphile,1
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,,anaerobe,alkaliphile,0
