Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore,energy_mode,primary_food_source,id
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1,,,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0,mixed,N/A,2
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Longum,anaerobe,acidophile,0,fermenter,carbohydrates,3
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Castelli,aerobe,alkaliphile,0,mixed,carbohydrates,4
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,aerobe,alkaliphile,0,,,5
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0,,,6
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0,fermenter,carbohydrates,7
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Plebeius,anaerobe,alkaliphile,0,,,9
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Flavefaciens,anaerobe,Unknown,0,fermenter,carbohydrates,11
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Eggerthii,anaerobe,alkaliphile,0,fermenter,carbohydrates,12
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,facultative anaerobe,Unknown,Unknown,,,13
Chlorobiota,Chlorobiia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton,,Unknown,Unknown,Unknown,,,14
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,,anaerobe,Unknown,0,,,17
Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,,anaerobe,Unknown,Unknown,,,18
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Aerofaciens,anaerobe,Unknown,0,fermenter,carbohydrates,19
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Producta,anaerobe,Unknown,0,fermenter,carbohydrates,20
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Prausnitzii,anaerobe,Unknown,Unknown,fermenter,carbohydrates,21
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Oscillospira,Guilliermondii,Unknown,Unknown,Unknown,,,22
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Pullorum,microaerophile,Unknown,0,mixed,carbohydrates,28
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown,,,29
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Melaninogenica,anaerobe,alkaliphile,0,fermenter,N/A,30
Lentisphaerota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Vadensis,anaerobe,Unknown,Unknown,,,31
Synergistota,Synergistia,Synergistales,Dethiosulfovibrionaceae,Pyramidobacter,Piscolens,anaerobe,Unknown,Unknown,fermenter,carbohydrates,32
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,,anaerobe,alkaliphile,0,,,33
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,,anaerobe,Unknown,Unknown,,,34
Bacillota,Tissierellia,Tissierellales,Tepidimicrobiaceae,Tepidimicrobium,,anaerobe,alkaliphile,1,,,35
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Pseudobutyrivibrio,,anaerobe,Unknown,Unknown,,,37
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,,anaerobe,Unknown,Unknown,,,38
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Moryella,Indoligenes,anaerobe,Unknown,0,,,39
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Torques,anaerobe,Unknown,0,,,40
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Gnavus,anaerobe,Unknown,0,N/A,N/A,41
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Muralis,aerobe,alkaliphile,1,,,45
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,,anaerobe,Unknown,Unknown,,,46
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,,anaerobe,Unknown,Unknown,,,48
Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,,anaerobe,Unknown,0,,,50
Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,anaerobe,Unknown,0,,,51
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,,anaerobe,Unknown,0,,,52
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Formatexigens,anaerobe,Unknown,Unknown,fermenter,carbohydrates,54
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Muciniphila,anaerobe,Unknown,Unknown,fermenter,carbohydrates,55
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,,anaerobe,alkaliphile,0,,,58
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Saltans,aerobe,alkaliphile,0,,,60
Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,,anaerobe,Unknown,Unknown,,,61
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Albus,anaerobe,Unknown,0,fermenter,complex_carbs_fiber,62
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,,aerobe,Unknown,Unknown,,,63
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,anaerobe,Unknown,0,,,64
Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,,anaerobe,alkaliphile,0,,,65
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,,anaerobe,Unknown,0,,,67
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Copri,anaerobe,alkaliphile,0,fermenter,carbohydrates,68
Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Durum,aerobe,alkaliphile,0,mixed,carbohydrates,69
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Coprophilus,anaerobe,alkaliphile,0,fermenter,carbohydrates,70
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,,anaerobe,Unknown,0,,,71
Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,,facultative anaerobe,acidophile,0,,,72
Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Berteroana,Unknown,Unknown,Unknown,,,73
Arthropoda,Insecta,Lepidoptera,Geometridae,Victoria,Amazonica,Unknown,Unknown,Unknown,,,76
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Multacida,anaerobe,Unknown,Unknown,fermenter,carbohydrates,77
Streptophyta,Magnoliopsida,Proteales,Nelumbonaceae,Nelumbo,Nucifera,Unknown,Unknown,Unknown,,,78
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,anaerobe,Unknown,1,,,79
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Breve,anaerobe,acidophile,0,fermenter,carbohydrates,83
Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Succinogenes,Unknown,Unknown,Unknown,N/A,complex_carbs_fiber,84
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,Sitiensis,aerobe,alkaliphile,0,,,85
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,P-1630-C5,anaerobe,Unknown,Unknown,,,88
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium,,aerobe,alkaliphile,0,,,90
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Nesterenkonia,,aerobe,alkaliphile,0,,,91
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Catus,Unknown,Unknown,Unknown,fermenter,carbohydrates,92
