taxon_id	scientific_name	taxonomic_rank	phylum	disease_id	disease_name	mesh_id	n_associations	n_studies	n_studies_enriched	n_studies_depleted	n_sources	mean_abs_effect_size	consensus_direction	agreement_ratio	has_conflict
9313	Peptostreptococcus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	17	16	16	1	1	3.261	enriched	0.941	1
155	Parvimonas	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	16	15	15	0	1	3.35	enriched	1.000	0
45	Fusobacterium	genus	Fusobacteria	20491	Colorectal Neoplasms	D015179	15	14	14	0	1	3.902	enriched	1.000	0
176	Gemella	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	13	13	13	0	1	3.106	enriched	1.000	0
7665	Fusicatenibacter	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	13	13	0	13	1	3.648	depleted	1.000	0
7666	Faecalibacterium	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	11	11	2	9	1	4.696	depleted	0.818	1
7666	Faecalibacterium	genus	Firmicutes	12713	Crohn Disease	D003424	14	10	0	10	1	4.645	depleted	1.000	0
7664	Coprococcus	genus	Firmicutes	12713	Crohn Disease	D003424	15	10	1	10	1	3.847	depleted	0.909	1
7658	Ruminococcus	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	10	10	1	9	1	4.158	depleted	0.900	1
7658	Ruminococcus	genus	Firmicutes	12713	Crohn Disease	D003424	10	9	0	9	1	4.067	depleted	1.000	0
7686	Roseburia	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	9	9	0	9	1	4.201	depleted	1.000	0
9112	Porphyromonas	genus	Bacteroidetes	20491	Colorectal Neoplasms	D015179	9	9	9	0	1	4.014	enriched	1.000	0
45	Fusobacterium	genus	Fusobacteria	12713	Crohn Disease	D003424	12	9	9	1	1	3.742	enriched	0.900	1
57	Anaerostipes	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	9	9	1	8	1	3.533	depleted	0.889	1
7669	Eubacterium	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	9	9	1	8	1	3.726	depleted	0.889	1
7671	Lachnospira	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	8	8	0	8	1	4.008	depleted	1.000	0
7665	Fusicatenibacter	genus	Firmicutes	12713	Crohn Disease	D003424	8	8	1	7	1	3.708	depleted	0.875	1
7671	Lachnospira	genus	Firmicutes	12713	Crohn Disease	D003424	13	8	1	7	1	3.714	depleted	0.875	1
7672	Collinsella	genus	Actinobacteria	12713	Crohn Disease	D003424	9	8	1	7	1	3.607	depleted	0.875	1
7860	Hungatella	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	8	8	7	1	1	3.125	enriched	0.875	1
