taxon_id	scientific_name	taxonomic_rank	phylum	disease_id	disease_name	mesh_id	n_associations	n_studies	n_studies_enriched	n_studies_depleted	n_sources	mean_abs_effect_size	consensus_direction	agreement_ratio	has_conflict	specificity_class	n_diseases
372	Filifactor	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	2	2	2	0	1	2.204	enriched	1.000	0	narrow	2
475	Aquabacterium	genus	Proteobacteria	12713	Crohn Disease	D003424	2	2	2	0	1	2.708	enriched	1.000	0	narrow	2
10626	Mediterranea	genus	Bacteroidetes	12713	Crohn Disease	D003424	2	2	0	2	1	2.334	depleted	1.000	0	narrow	2
11742	Moryella	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	2	2	2	0	1	2.996	enriched	1.000	0	narrow	2
490	Scardovia	genus	Actinobacteria	12713	Crohn Disease	D003424	2	2	2	0	1	2.09	enriched	1.000	0	narrow	3
8254	Candidatus Saccharimonas	genus	Candidatus Saccharimonadota	53356	Hand, Foot and Mouth Disease	D006232	2	2	0	2	1	2.853	depleted	1.000	0	narrow	3
10768	Zhenhengia	genus	Firmicutes	12713	Crohn Disease	D003424	3	2	2	0	1	3.111	enriched	1.000	0	narrow	3
8113	Sanguibacteroides	genus	Bacteroidetes	20491	Colorectal Neoplasms	D015179	2	2	2	0	1	2.309	enriched	1.000	0	narrow	4
9639	Lancefieldella	genus	Actinobacteria	28066	COVID-19	D000086382	2	2	2	0	1	2.708	enriched	1.000	0	narrow	4
13510	Zhenpiania	genus	Firmicutes	28066	COVID-19	D000086382	2	2	0	2	1	2.653	depleted	1.000	0	narrow	4
339	Eikenella	genus	Proteobacteria	12713	Crohn Disease	D003424	3	2	2	0	1	3.21	enriched	1.000	0	narrow	5
7972	Latilactobacillus	genus	Firmicutes	28066	COVID-19	D000086382	2	2	0	2	1	2.584	depleted	1.000	0	narrow	5
10064	Merdimonas	genus	Firmicutes	62116	Kidney Failure, Chronic	D007676	2	2	2	0	1	2.515	enriched	1.000	0	narrow	5
9850	Selenomonas	genus	Firmicutes	20491	Colorectal Neoplasms	D015179	3	3	3	0	1	2.545	enriched	1.000	0	broad	6
33	Butyrivibrio	genus	Firmicutes	12713	Crohn Disease	D003424	3	2	0	2	1	2.984	depleted	1.000	0	broad	6
89	Anaerofustis	genus	Firmicutes	48371	Dwarfism	D004392	2	2	2	0	1	2.438	enriched	1.000	0	broad	6
8123	Asteroleplasma	genus	Tenericutes	28066	COVID-19	D000086382	2	2	0	2	1	3.137	depleted	1.000	0	broad	6
9850	Selenomonas	genus	Firmicutes	12713	Crohn Disease	D003424	2	2	2	0	1	2.431	enriched	1.000	0	broad	6
10225	Massilistercora	genus	Firmicutes	12711	Colitis, Ulcerative	D003093	2	2	2	0	1	2.827	enriched	1.000	0	broad	6
10225	Massilistercora	genus	Firmicutes	12713	Crohn Disease	D003424	2	2	0	2	1	2.827	depleted	1.000	0	broad	6
