id	kingdom	phylum	class_name	order_name	family	genus	species	genus_key	species_key	scientific_name	taxonomic_rank	ncbi_tax_id	gram_stain	oxygen_requirement	ph_preference	sporulation	energy_mode	primary_food_source	created_at	updated_at
1	NULL	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	aminophilum	clostridium	aminophilum	Clostridium aminophilum	species	NULL	NULL	anaerobe	alkaliphile	1	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
2	NULL	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	aerogenes	enterobacter	aerogenes	Enterobacter aerogenes	species	NULL	NULL	aerobe	alkaliphile	0	mixed	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
3	Eubacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	bifidobacterium	longum	Bifidobacterium longum	species	1322347	Positive	anaerobe	acidophile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
4	Eubacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	castelli	arthrobacter	castelli	Arthrobacter castelli	species	1121019	Positive	aerobe	alkaliphile	0	mixed	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:05
5	NULL	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas		comamonas		Comamonas	genus	NULL	NULL	aerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
6	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	acidifaciens	bacteroides	acidifaciens	Bacteroides acidifaciens	species	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
7	Eubacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	bifidobacterium	adolescentis	Bifidobacterium adolescentis	species	1437612	Positive	anaerobe	acidophile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
8	NULL	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	plebeius	bacteroides	plebeius	Bacteroides plebeius	species	NULL	NULL	anaerobe	alkaliphile	0	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
9	Eubacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	flavefaciens	ruminococcus	flavefaciens	Ruminococcus flavefaciens	species	1265	Positive	anaerobe	NULL	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
10	Eubacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	eggerthii	bacteroides	eggerthii	Bacteroides eggerthii	species	28111	Negative	anaerobe	alkaliphile	0	fermenter	carbohydrates	2026-06-19 10:03:02	2026-06-19 10:03:04
11	NULL	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma		acholeplasma		Acholeplasma	genus	NULL	NULL	facultative anaerobe	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
12	NULL	Chlorobiota	Chlorobiia	Chlorobiales	Chloroherpetonaceae	Chloroherpeton		chloroherpeton		Chloroherpeton	genus	NULL	NULL	NULL	NULL	NULL	N/A	N/A	2026-06-19 10:03:02	2026-06-19 10:03:02
